,x,y,z
0,839.4375,298.5625,83.25
1,849.5555555555555,297.1111111111111,74.66666666666667
2,855.6153846153846,325.38461538461536,70.0
3,865.0,350.6,61.9
4,831.75,349.375,89.0
5,833.0,364.0,88.0
6,834.8461538461538,334.0,88.0
7,838.2222222222222,370.6666666666667,85.0
8,836.5,298.25,86.25
9,840.8666666666667,348.53333333333336,81.86666666666666
10,843.578947368421,354.0,79.63157894736842
11,838.1363636363636,264.04545454545456,83.68181818181819
12,847.5714285714286,351.0,77.0
13,843.0,285.0,80.0
14,848.5,341.5769230769231,75.46153846153847
15,845.1428571428571,287.2857142857143,78.28571428571429
16,845.8333333333334,293.1666666666667,78.0
17,848.3333333333334,299.3333333333333,76.0
18,856.5,393.3,69.1
19,845.8,250.8,77.3
20,852.0,293.5,73.0
21,860.4,389.0,67.0
22,852.48,290.0,71.48
23,855.0,285.0,70.0
24,859.875,324.75,66.375
25,865.0,374.0,63.0
26,858.25,274.5,67.35
27,857.7222222222222,265.77777777777777,67.33333333333333
28,862.6428571428571,334.2142857142857,64.0
29,857.3846153846154,253.6153846153846,68.0
30,858.2222222222222,257.77777777777777,66.88888888888889
31,864.75,331.0,62.0
32,860.5652173913044,249.43478260869566,64.56521739130434
33,864.8888888888889,296.8888888888889,62.0
34,871.0,392.0,57.0
35,862.8571428571429,254.0,63.142857142857146
36,862.0,234.375,63.875
37,867.75,277.125,59.25
38,832.0,338.64285714285717,88.5
39,833.8333333333334,342.5833333333333,87.5
40,836.75,362.25,86.0
41,834.25,269.75,88.0
42,835.5454545454545,292.6363636363636,86.0
43,834.4736842105264,276.2105263157895,86.36842105263158
44,833.6666666666666,244.23809523809524,86.71428571428571
45,835.0,240.27272727272728,85.81818181818181
46,839.5625,282.5,82.4375
47,845.44,341.04,77.64
48,853.7142857142857,396.0,72.0
49,842.125,249.125,80.0
50,849.4375,333.6875,74.1875
51,847.9090909090909,278.09090909090907,76.0909090909091
52,851.5454545454545,343.72727272727275,72.27272727272727
53,851.4074074074074,332.0,72.4074074074074
54,848.0952380952381,270.2857142857143,75.38095238095238
55,854.0,327.5,72.0
56,849.8,284.4,73.4
57,848.2857142857143,264.7857142857143,74.64285714285714
58,853.8947368421053,334.57894736842104,70.42105263157895
59,856.0,347.0,69.0
60,856.5,342.0,69.0
61,854.4,295.0,71.0
62,856.6666666666666,324.1111111111111,68.0
63,859.4666666666667,337.1333333333333,66.0
64,863.2,370.0,64.0
65,863.9090909090909,361.27272727272725,62.18181818181818
66,856.55,248.55,67.8
67,863.9230769230769,345.84615384615387,61.76923076923077
68,861.2,297.3,64.1
